Population,Latitude,Longitude,Year_start,Year_end,Replicate,Chill_coma_survival
Mossman,-16.27,145.42,1999,2000,1,0
Mossman,-16.27,145.42,1999,2000,2,8
Mossman,-16.27,145.42,1999,2000,3,9
Mossman,-16.27,145.42,1999,2000,4,3
Innisfail,-17.32,146.00,1999,2000,1,12
Innisfail,-17.32,146.00,1999,2000,2,3
Innisfail,-17.32,146.00,1999,2000,3,1
Innisfail,-17.32,146.00,1999,2000,4,5
Bowen,-20.01,148.20,1999,2000,1,8
Bowen,-20.01,148.20,1999,2000,2,12
Bowen,-20.01,148.20,1999,2000,3,3
Bowen,-20.01,148.20,1999,2000,4,6
Sarina,-21.25,149.18,1999,2000,1,16
Sarina,-21.25,149.18,1999,2000,2,1
Sarina,-21.25,149.18,1999,2000,3,1
Sarina,-21.25,149.18,1999,2000,4,9
Bega,-36.41,150.02,1999,2000,1,11
Bega,-36.41,150.02,1999,2000,2,11
Bega,-36.41,150.02,1999,2000,3,15
Bega,-36.41,150.02,1999,2000,4,0
Wandin,-37.46,145.27,1999,2000,1,10
Wandin,-37.46,145.27,1999,2000,2,13
Wandin,-37.46,145.27,1999,2000,3,6
Wandin,-37.46,145.27,1999,2000,4,12
Tamar_Valley,-42.24,146.50,1999,2000,1,16
Tamar_Valley,-42.24,146.50,1999,2000,2,17
Tamar_Valley,-42.24,146.50,1999,2000,3,8
Tamar_Valley,-42.24,146.50,1999,2000,4,10
Huonville,-43.02,147.05,1999,2000,1,12
Huonville,-43.02,147.05,1999,2000,2,9
Huonville,-43.02,147.05,1999,2000,3,14
Huonville,-43.02,147.05,1999,2000,4,12
