Population,Latitude,Longitude,Year_start,Year_end,In(2L)t_frequency,In(2R)NS_frequency,In(3L)Payne_frequency,In(3R)Payne_frequency,In(3R)C_frequency
Innisfail,-17.5,146.0,1978,1979,0.40,0.20,0.00,1.00,0.00
Townsville,-19.3,146.7,1978,1979,0.33,0.44,0.22,0.55,0.00
Nambour,-26.6,153.0,1978,1979,0.21,0.06,0.06,0.45,0.00
Brisbane,-27.5,153.0,1978,1979,0.22,0.09,0.03,0.21,0.04
Stanthorpe,-28.7,152.0,1978,1979,0.10,0.10,0.00,0.19,0.05
Craigmoor,-32.6,149.6,1978,1979,0.07,0.11,0.05,0.11,0.00
Canberra,-35.3,149.2,1978,1979,0.09,0.04,0.01,0.10,0.01
Araluen,-35.5,149.8,1978,1979,0.10,0.16,0.12,0.43,0.02
Rutherglen,-36.1,146.5,1978,1979,0.03,0.06,0.08,0.03,0.00
Chateau_Tahbilk,-36.4,145.4,1978,1979,0.03,0.00,0.00,0.06,0.06
Melbourne,-37.7,144.8,1978,1979,0.05,0.07,0.02,0.02,0.00
Cygnet,-43.4,147.3,1978,1979,0.00,0.05,0.00,0.00,0.00
