Population,Latitude,Longitude,Year_start,Year_end,Number_of_samples_Adh,Adh_F_frequency,Adh_S_frequency,Number_of_samples_Gpdh,Gpdh_F_frequency,Gpdh_S_frequency
Snake_Bay,-11.4,130.7,1978,1979,48,0.08,0.92,48,0.92,0.08
Darwin,-12.5,130.8,1978,1979,48,0.09,0.91,52,92,0.08
Mount_Molloy,-16.7,145.6,1978,1979,96,0.08,0.92,64,0.59,0.41
Derby,-17.3,123.6,1978,1979,16,0.71,0.29,16,0.85,0.15
Innisfail,-17.5,146.0,1978,1979,24,0.00,1.00,24,0.77,0.23
Townsville,-19.3,146.7,1978,1979,36,0.34,0.66,36,0.82,0.18
Nambour,-26.6,153.0,1978,1979,232,0.13,0.87,224,0.81,0.19
Brisbane,-27.5,153.0,1978,1979,312,0.30,0.70,300,0.69,0.31
Stanthorpe,-28.7,152.0,1978,1979,92,0.46,0.54,92,0.62,0.38
Sandalford,-31.9,116.0,1978,1979,112,0.73,0.27,104,0.74,0.26
Westfield,-31.9,116.0,1978,1979,52,0.65,0.35,52,0.75,0.25
Scone,-32.1,150.9,1978,1979,52,0.70,0.30,52,0.54,0.46
Craigmoor,-32.6,149.6,1978,1979,184,0.73,0.27,184,0.85,0.15
Linden,-32.6,149.6,1978,1979,68,0.65,0.35,68,0.71,0.29
Montrose,-32.6,149.6,1978,1979,44,0.66,0.34,44,0.80,0.20
Bellevue,-32.8,151.3,1978,1979,144,0.72,0.28,128,0.76,0.24
Elliott,-32.8,151.3,1978,1979,156,0.61,0.39,152,0.79,0.21
Lindeman,-32.8,151.3,1978,1979,120,0.67,0.33,120,0.74,0.26
Rothbury,-32.8,151.3,1978,1979,104,0.78,0.22,80,0.79,0.21
Tyrell,-32.8,151.3,1978,1979,64,0.80,0.20,64,0.75,0.25
Saint_Hallett,-34.3,138.9,1978,1979,240,0.80,0.20,224,0.73,0.27
Willsford,-34.3,138.9,1978,1979,68,0.72,0.28,66,0.86,0.14
Saint_Peters,-34.9,138.6,1978,1979,88,0.89,0.11,88,0.85,0.15
Colonel_Light_Gardens,-34.9,138.6,1978,1979,12,0.80,0.20,,,
Coriole,-35.0,138.5,1978,1979,164,0.54,0.46,148,0.73,0.27
Wirra_Wirra,-35.0,138.5,1978,1979,88,0.75,0.25,84,0.75,0.25
Canberra,-35.3,149.2,1978,1979,192,0.69,0.31,152,0.67,0.33
Araluen,-35.5,149.8,1978,1979,212,0.64,0.36,212,0.75,0.25
Rutherglen,-36.1,146.5,1978,1979,144,0.71,0.29,144,0.74,0.26
Chateau_Tahbilk,-36.4,145.4,1978,1979,140,0.73,0.27,136,0.73,0.27
Great_Western,-37.1,142.8,1978,1979,60,0.73,0.27,60,0.75,0.25
Melbourne,-37.7,144.8,1978,1979,244,0.79,0.21,236,0.75,0.25
Cygnet,-43.0,147.3,1978,1979,80,0.44,0.56,76,0.86,0.14
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
