Latitude,Longitude,Year_start,Year_end,G6pdF_frequency,,,,,
-15.36,,1978,1979,0.77,,,,,
-16.74,,1978,1979,0.36,,,,,
-19.08,,1978,1979,0.38,,,,,
-20.94,,1978,1979,0.48,,,,,
-23.31,,1978,1979,0.32,,,,,
-23.50,,1978,1979,0.41,,,,,
-23.63,,1978,1979,0.00,,,,,
-24.38,,1978,1979,0.22,,,,,
-24.68,,1978,1979,0.24,,,,,
-25.26,,1978,1979,0.61,,,,,
-26.75,,1978,1979,0.58,,,,,
-27.33,,1978,1979,0.40,,,,,
-27.34,,1978,1979,0.49,,,,,
-27.40,,1978,1979,0.47,,,,,
-27.51,,1978,1979,0.44,,,,,
-27.54,,1978,1979,0.13,,,,,
-28.55,,1978,1979,0.62,,,,,
-30.25,,1978,1979,0.84,,,,,
-31.70,,1978,1979,0.94,,,,,
-31.75,,1978,1979,0.90,,,,,
-32.91,,1978,1979,0.54,,,,,
-32.96,,1978,1979,0.52,,,,,
-33.00,,1978,1979,0.86,,,,,
-33.01,,1978,1979,0.38,,,,,
-33.12,,1978,1979,0.79,,,,,
-33.46,,1978,1979,0.68,,,,,
-33.99,,1978,1979,0.11,,,,,
-33.99,,1978,1979,0.13,,,,,
-34.50,,1978,1979,0.84,,,,,
-34.90,,1978,1979,0.68,,,,,
-35.15,,1978,1979,0.78,,,,,
-35.21,,1978,1979,0.82,,,,,
-35.31,,1978,1979,0.63,,,,,
-35.58,,1978,1979,0.92,,,,,
-35.70,,1978,1979,0.90,,,,,
-35.86,,1978,1979,0.75,,,,,
-36.15,,1978,1979,0.68,,,,,
-36.41,,1978,1979,0.79,,,,,
-36.49,,1978,1979,0.99,,,,,
-36.83,,1978,1979,0.86,,,,,
-37.30,,1978,1979,0.79,,,,,
-37.57,,1978,1979,0.51,,,,,
-38.49,,1978,1979,0.70,,,,,
-38.60,,1978,1979,0.67,,,,,
-39.68,,1978,1979,0.71,,,,,
-41.16,,1978,1979,0.04,,,,,
-41.38,,1978,1979,0.44,,,,,
