Latitude,Longitude,Year_start,Year_end,PgdF_frequency,,,
-10.38,,1978,1979,0.13,,,
-15.10,,1978,1979,0.89,,,
-16.35,,1978,1979,0.84,,,
-16.94,,1978,1979,0.68,,,
-19.49,,1978,1979,0.42,,,
-20.81,,1978,1979,0.99,,,
-23.07,,1978,1979,0.78,,,
-23.58,,1978,1979,0.68,,,
-23.58,,1978,1979,0.12,,,
-24.34,,1978,1979,0.49,,,
-24.65,,1978,1979,0.22,,,
-25.33,,1978,1979,0.68,,,
-27.05,,1978,1979,0.62,,,
-27.22,,1978,1979,0.75,,,
-27.29,,1978,1979,0.77,,,
-27.33,,1978,1979,0.72,,,
-27.38,,1978,1979,0.70,,,
-27.40,,1978,1979,0.73,,,
-27.54,,1978,1979,0.64,,,
-28.55,,1978,1979,0.60,,,
-30.24,,1978,1979,0.62,,,
-31.90,,1978,1979,0.96,,,
-32.03,,1978,1979,1.00,,,
-33.05,,1978,1979,0.69,,,
-33.06,,1978,1979,0.85,,,
-33.06,,1978,1979,1.00,,,
-33.08,,1978,1979,0.75,,,
-33.08,,1978,1979,0.92,,,
-33.36,,1978,1979,0.70,,,
-34.74,,1978,1979,0.70,,,
-34.86,,1978,1979,0.97,,,
-35.20,,1978,1979,0.93,,,
-35.39,,1978,1979,0.94,,,
-35.53,,1978,1979,0.71,,,
-35.70,,1978,1979,0.97,,,
-35.86,,1978,1979,0.91,,,
-35.90,,1978,1979,0.88,,,
-35.91,,1978,1979,0.76,,,
-36.54,,1978,1979,0.95,,,
-36.83,,1978,1979,0.94,,,
-36.92,,1978,1979,0.99,,,
-37.63,,1978,1979,0.98,,,
-37.71,,1978,1979,0.87,,,
-38.67,,1978,1979,1.00,,,
-38.99,,1978,1979,0.75,,,
-39.87,,1978,1979,1.00,,,
-41.31,,1978,1979,0.98,,,
-41.32,,1978,1979,0.99,,,
