Population,Latitude,Longitude,Altitude_class,Altitude,Year_start,Year_end,DMU25686_0,DMU25686_1,DMU25686_2,DMU25686_3,DMU25686_4,DMU25686_MCA,DMU25686_6,DMU25686_7,DMU25686_8,DMU25686_9,DMU25686_10,DMU25686_11,DMU25686_12,DMU25686_13,DMU25686_14,DMU25686_15,DMU25686_16,DMU25686_17,DMU25686_18,N
Malanda,-17.31,145.52,high,800,2002,2002,0.008,0.000,0.000,0.016,0.008,0.532,0.000,0.008,0.016,0.105,0.065,0.048,0.000,0.145,0.016,0.000,0.016,0.016,0.000,124
Innisfail,-17.50,146.00,low,10,2002,2002,0.000,0.000,0.000,0.000,0.000,0.520,0.013,0.000,0.000,0.072,0.099,0.112,0.007,0.138,0.013,0.013,0.000,0.013,0.000,152
Springbrook,-28.23,153.27,high,1031,2002,2002,0.000,0.000,0.000,0.000,0.000,0.265,0.000,0.059,0.000,0.088,0.088,0.118,0.000,0.382,0.000,0.000,0.000,0.000,0.000,34
Kingscliff,-28.28,153.12,low,10,2002,2002,0.000,0.000,0.000,0.000,0.000,0.392,0.000,0.000,0.010,0.157,0.059,0.029,0.010,0.294,0.000,0.029,0.020,0.000,0.000,102
Coffs_Harbour,-30.37,153.10,low,14,2002,2002,0.000,0.000,0.000,0.000,0.000,0.404,0.011,0.000,0.021,0.234,0.043,0.011,0.032,0.181,0.043,0.000,0.021,0.000,0.000,94
Armidale,-30.52,151.68,high,1296,2002,2002,0.000,0.000,0.016,0.000,0.000,0.227,0.023,0.000,0.039,0.242,0.133,0.000,0.031,0.250,0.031,0.000,0.008,0.000,0.000,128
Blackheath,-33.63,150.28,high,1046,2002,2002,0.000,0.000,0.000,0.000,0.000,0.125,0.021,0.052,0.031,0.208,0.125,0.000,0.042,0.250,0.042,0.021,0.021,0.042,0.021,96
Wollongong,-34.42,150.90,low,10,2002,2002,0.000,0.000,0.000,0.000,0.000,0.200,0.000,0.000,0.000,0.278,0.044,0.011,0.056,0.289,0.089,0.011,0.011,0.011,0.000,90
Adaminaby,-35.98,148.77,high,1025,2002,2002,0.000,0.000,0.000,0.020,0.000,0.080,0.070,0.020,0.000,0.390,0.030,0.000,0.070,0.140,0.030,0.060,0.000,0.060,0.030,100
Bega,-36.68,149.83,low,60,2002,2002,0.000,0.000,0.000,0.029,0.000,0.157,0.043,0.029,0.000,0.286,0.014,0.014,0.014,0.186,0.071,0.057,0.029,0.071,0.000,70
,,,,,,,,,,,,,,,,,,,,,,,,,,
