Population,Latitude,Longitude,Year_start,Year_end,Season,Mean_pupal_to_adult_viability,Mean_egg_to_adult_viability,CV_pupal_to_adult_viability,Mean_cold_resistance_survival
Ballina,-28.51,153.50,1999,1999,pre-winter,34.60,27.65,64.27,
Ballina,-28.51,153.50,1999,1999,post-winter,77.60,62.00,25.97,35.40
Brunswick_Heads,-28.31,153.54,1999,1999,pre-winter,59.05,50.00,44.39,51.50
Brunswick_Heads,-28.31,153.54,1999,1999,post-winter,81.00,65.50,14.17,26.42
Crescent_Head,-31.10,152.99,1999,1999,pre-winter,71.00,51.25,23.31,
Crescent_Head,-31.10,152.99,1999,1999,post-winter,64.11,56.67,32.42,21.53
Fingal_Head,-28.12,153.43,1999,1999,pre-winter,46.33,38.83,57.97,60.43
Fingal_Head,-28.12,153.43,1999,1999,post-winter,77.50,65.17,23.90,31.87
Grafton,-29.40,153.07,1999,1999,pre-winter,67.30,54.30,30.92,38.75
Brisbane_Keppera_Park,-27.24,152.98,1999,1999,pre-winter,46.50,35.80,53.10,42.50
Brisbane_Keppera_Park,-27.24,152.98,1999,1999,post-winter,67.00,61.50,15.98,21.67
Kingscliff,-28.15,153.46,1999,1999,pre-winter,45.00,33.65,45.76,53.60
Kingscliff,-28.15,153.46,1999,1999,post-winter,64.80,51.70,24.88,31.13
Manning_Point,-31.58,152.81,1999,1999,pre-winter,73.55,57.00,22.21,37.20
Manning_Point,-31.58,152.81,1999,1999,post-winter,59.20,47.50,30.19,46.28
Nambucca_Heads,-30.37,152.79,1999,1999,pre-winter,56.75,47.13,39.83,44.23
Red_Rock,-30.01,153.20,1999,1999,pre-winter,65.25,51.90,27.51,50.57
Red_Rock,-30.01,153.20,1999,1999,post-winter,66.70,55.50,35.46,25.71
Redcliffe,-27.12,153.07,1999,1999,pre-winter,43.17,33.67,41.14,32.33
Seal_Rocks,-32.12,152.49,1999,1999,pre-winter,40.45,31.00,46.59,40.27
Seal_Rocks,-32.12,152.49,1999,1999,post-winter,77.60,58.00,14.28,38.98
Terrigal,-33.26,151.43,1999,1999,pre-winter,52.71,42.36,36.60,40.40
Terrigal,-33.26,151.43,1999,1999,post-winter,64.29,49.29,54.29,44.18
Wollongong,-34.24,150.94,1999,1999,pre-winter,68.40,53.25,15.24,48.00
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
